hotel_id,type,name,address,rooms,grade,district,aga_division,local_authority,longitude,latitude
HOTEL_0672,Guest Houses,REST HOUSE DENIYAYA,"REST HOUSE,DENIYAYA",4,FOUR,Matara,Kotapola Pradeshiya Sabha,Kotapola Divisional Secretariat,80.557427,6.339833
HOTEL_0673,Guest Houses,PRASANNA GUEST HOUSE,"NO:1042,KANDY ROAD, ANURADHAPURA JUNTION,TRINCOMALEE",18,FOUR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.208747,8.585838
HOTEL_0674,Guest Houses,SILVIKRIS,"32/9A,RAYMOND ROAD, NUGEGODA",5,FIVE,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.882293,6.871275
HOTEL_0675,Guest Houses,SIYANCO HOLIDAY RESORT,"1ST CANAL ROAD,POLONNARUWA",17,FIVE,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.99859,7.940886
HOTEL_0676,Guest Houses,HINIDUMA REST HOUSE,"REST HOUSE,HINIDUMA",3,FOUR,Galle,Galle,Thawalama Divisional Secretariat,80.320077,6.304647
HOTEL_0677,Guest Houses,SOROWWA RESORT & SPA,"LAKE ROAD,HABARANA.",22,FIVE,Anuradhapura,Anuradhapura,Anuradhapura East,80.75079,8.040575
HOTEL_0678,Guest Houses,REST HOUSE - MORAGALA,"MORAGALA,MEEGAHATENNA",4,FOUR,Kalutara,Walallawita Pradeshiya Sabha,Kalutara Divisional Secretariat,80.178349,6.461504
HOTEL_0679,Guest Houses,SENKADA REST,"NO 108, HEWAHATE ROAD,TALWATTE, KANDY",8,FOUR,Kandy,Kandy,Kandy Divisional Secretariat,80.655699,7.28974
HOTEL_0680,Guest Houses,SERENE GARDEN,"173/5, RAJAPIHIALLA MAWATHA, KANDY",12,FOUR,Kandy,Kandy,Kandy Divisional Secretariat,80.64412,7.284872
HOTEL_0681,Guest Houses,GSH COLOMBO,"NO. 382, GALLE ROAD, COLOMBO 06",32,FIVE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.862452,6.867818
